LGA_CODE,LGA_NAME,s_mean_nonstrata,s_mean_strata,s_median_nonstrata,s_median_strata,s_mean_sales,s_median_sales,r_one_br,r_two_br,r_three_br,r_four_or_more_br,r_bedsitter,r_not_specified,r_flat,r_house,r_other,r_townhouse,r_weekly_rent_median
LGA17550,Tweed,682.0,450.0,645.0,440.0,594.0,560.0,295.0,403.0,495.0,600.0,0.0,420.0,400.0,530.0,400.0,480.0,480.0
LGA17620,Upper Hunter Shire,344.0,0.0,338.0,0.0,342.0,329.0,0.0,230.0,320.0,380.0,0.0,0.0,228.0,300.0,0.0,0.0,280.0
LGA17640,Upper Lachlan Shire,418.0,0.0,390.0,0.0,418.0,390.0,,,,,,,0.0,320.0,0.0,0.0,310.0
LGA17650,Uralla,332.0,0.0,343.0,0.0,332.0,343.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,285.0
LGA17750,Wagga Wagga,392.0,252.0,344.0,272.0,382.0,330.0,191.0,240.0,330.0,420.0,0.0,0.0,230.0,340.0,310.0,320.0,310.0
LGA17850,Walcha,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,220.0
LGA17900,Walgett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,175.0,250.0,0.0,0.0,200.0
LGA17950,Warren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,285.0
LGA18020,Warrumbungle Shire,169.0,0.0,160.0,0.0,169.0,160.0,0.0,175.0,235.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,205.0
LGA18050,Waverley,2830.0,1874.0,2620.0,1100.0,2184.0,1451.0,550.0,750.0,1100.0,1473.0,425.0,650.0,695.0,1200.0,690.0,998.0,720.0
LGA18100,Weddin,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,235.0
LGA18200,Wentworth,257.0,0.0,298.0,0.0,257.0,298.0,0.0,0.0,300.0,110.0,0.0,0.0,0.0,110.0,0.0,0.0,160.0
LGA18250,Willoughby,2291.0,975.0,2105.0,883.0,1526.0,1350.0,525.0,650.0,900.0,1200.0,405.0,625.0,595.0,900.0,660.0,680.0,625.0
LGA18350,Wingecarribee,905.0,556.0,790.0,530.0,874.0,769.0,310.0,365.0,460.0,565.0,0.0,0.0,350.0,495.0,0.0,500.0,473.0
LGA18400,Wollondilly,757.0,0.0,670.0,0.0,748.0,665.0,0.0,330.0,430.0,520.0,0.0,455.0,320.0,450.0,400.0,410.0,430.0
LGA18450,Wollongong,712.0,577.0,678.0,543.0,666.0,635.0,290.0,380.0,490.0,600.0,87.0,270.0,365.0,500.0,293.0,478.0,440.0
LGA18500,Woollahra,4434.0,1664.0,3960.0,1310.0,2666.0,1858.0,538.0,725.0,1200.0,2000.0,373.0,550.0,700.0,1283.0,720.0,1100.0,750.0
LGA18710,Yass Valley,664.0,0.0,664.0,0.0,664.0,664.0,0.0,320.0,380.0,520.0,0.0,0.0,0.0,410.0,0.0,0.0,388.0
LGA11200,Brewarrina,,,,,,,,,,,,,,,,,0.0
