LGA_CODE,land_area,bus_stop,coach_stop,light_rail,train_station,wharf,all_bus_stops,all_train_stations,all_transpo,ntl17_count,ntl17_min,ntl17_mean,ntl17_max,ntl17_sum,ntl19_count,ntl19_min,ntl19_mean,ntl19_max,ntl19_sum
LGA14700,10.4794,247.0,0.0,0.0,0.0,0.0,247.0,0.0,247.0,61,4.909999847412109,14.60950707607582,38.97999954223633,891.179931640625,61,4.510000228881836,15.630983446465164,53.439998626708984,953.489990234375
LGA14750,1167.1877,0.0,3.0,0.0,1.0,0.0,3.0,1.0,4.0,6606,0.09000000357627869,0.37319862210963517,40.849998474121094,2465.35009765625,6606,0.15000000596046448,0.4388434756282168,35.75,2899.0
LGA14850,1287.7043,100.0,4.0,0.0,0.0,0.0,104.0,0.0,104.0,6860,0.05000000074505806,0.37107869584775877,37.209999084472656,2545.599853515625,6860,0.11999999731779099,0.41555542348077623,35.119998931884766,2850.710205078125
LGA14870,4512.2563,150.0,16.0,0.0,4.0,0.0,166.0,4.0,170.0,25141,0.07999999821186066,0.29212163320745993,35.029998779296875,7344.22998046875,25141,0.07999999821186066,0.32368321572580644,33.65999984741211,8137.7197265625
LGA14900,305.7396,1221.0,0.0,0.0,5.0,0.0,1221.0,5.0,1226.0,1718,0.3499999940395355,7.196320894572177,84.5,12363.279296875,1718,0.3400000035762787,7.655168846405704,96.33000183105469,13151.580078125
LGA14920,5082.2397,15.0,1.0,0.0,4.0,0.0,16.0,4.0,20.0,27812,0.03999999910593033,0.2161178599839997,11.8100004196167,6010.669921875,27812,0.07999999821186066,0.24193154385359736,16.18000030517578,6728.60009765625
LGA14950,2895.8049,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,16540,0.05999999865889549,0.19126422333169588,4.079999923706055,3163.51025390625,16540,0.15000000596046448,0.26310459492140265,3.9700000286102295,4351.75
LGA15050,391.5087,750.0,0.0,0.0,10.0,0.0,750.0,10.0,760.0,2173,0.17000000178813934,1.9479889463731017,37.650001525878906,4232.97998046875,2173,0.23000000417232513,2.150984741716521,45.779998779296875,4674.08984375
LGA15240,10053.2455,156.0,29.0,0.0,3.0,0.0,185.0,3.0,188.0,55275,0.019999999552965164,0.2569329842265943,27.90999984741211,14201.970703125,55275,0.07999999821186066,0.290984371466531,27.260000228881836,16084.1611328125
LGA15270,8752.259,23.0,18.0,0.0,0.0,0.0,41.0,0.0,41.0,48405,0.03999999910593033,0.2532730025307303,43.810001373291016,12259.6796875,48405,0.05999999865889549,0.29175293422683607,36.86000061035156,14122.30078125
LGA15300,17906.5241,1.0,2.0,0.0,1.0,0.0,3.0,1.0,4.0,95731,0.009999999776482582,0.182802225441602,53.91999816894531,17499.83984375,95731,0.09000000357627869,0.23335939785048732,26.399999618530273,22339.728515625
LGA15350,8.6503,207.0,0.0,0.0,0.0,0.0,207.0,0.0,207.0,50,1.940000057220459,10.461600341796874,26.899999618530273,523.0800170898438,50,2.4600000381469727,11.92260009765625,31.170000076293945,596.1300048828125
LGA15520,11863.4771,9.0,2.0,0.0,0.0,0.0,11.0,0.0,11.0,67751,0.07999999821186066,0.22469030957568892,24.6299991607666,15222.9931640625,67751,0.11999999731779099,0.2916944376282269,22.729999542236328,19762.58984375
LGA15560,6882.8151,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,39106,0.07999999821186066,0.212455659377717,10.15999984741211,8308.291015625,39106,0.12999999523162842,0.26124150645840793,8.319999694824219,10216.1103515625
LGA15650,3404.884,43.0,1.0,0.0,1.0,0.0,44.0,1.0,45.0,18805,0.05000000074505806,0.4192177425385536,45.40999984741211,7883.3896484375,18805,0.11999999731779099,0.5096575565840202,38.20000076293945,9584.1103515625
LGA15700,1491.3432,32.0,2.0,0.0,3.0,0.0,34.0,3.0,37.0,8088,0.03999999910593033,0.24875990266733897,9.510000228881836,2011.9700927734375,8088,0.10000000149011612,0.29636003473510136,19.920000076293945,2396.9599609375
LGA15750,13014.9937,27.0,2.0,0.0,3.0,0.0,29.0,3.0,32.0,70355,0.029999999329447746,0.24881260660223153,228.02000427246094,17505.2109375,70355,0.07999999821186066,0.35215419790704283,67.9000015258789,24775.80859375
LGA15800,4116.3459,1.0,3.0,0.0,1.0,0.0,4.0,1.0,5.0,23299,0.07000000029802322,0.20243571847235933,12.4399995803833,4716.5498046875,23299,0.14000000059604645,0.28287608826424954,11.5,6590.72998046875
LGA15850,5261.5165,10.0,3.0,0.0,0.0,0.0,13.0,0.0,13.0,28994,0.07000000029802322,0.22378112915064324,19.90999984741211,6488.31005859375,28994,0.11999999731779099,0.2714816804769952,20.329999923706055,7871.33984375
LGA15900,186.7549,1505.0,1.0,10.0,11.0,2.0,1506.0,21.0,1527.0,1030,0.5199999809265137,11.453125948118933,105.19999694824219,11796.7197265625,1030,0.5299999713897705,11.578145858616505,101.94000244140625,11925.490234375
LGA15950,10.4857,242.0,0.0,0.0,4.0,1.0,242.0,4.0,246.0,56,6.630000114440918,27.123927525111608,59.0099983215332,1518.93994140625,56,6.369999885559082,30.765893118722097,84.88999938964844,1722.8900146484375
LGA15990,254.2074,1639.0,0.0,0.0,0.0,11.0,1639.0,0.0,1639.0,1433,0.2800000011920929,4.04842979926291,53.4900016784668,5801.39990234375,1433,0.30000001192092896,4.321891151103454,63.150001525878906,6193.27001953125
LGA16100,3625.047,2.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,20345,0.07999999821186066,0.23667979790028262,48.40999984741211,4815.25048828125,20345,0.07999999821186066,0.27874367358380436,46.47999954223633,5671.0400390625
LGA16150,284.2157,118.0,3.0,0.0,1.0,0.0,121.0,1.0,122.0,1583,0.14000000059604645,1.75639916791693,53.959999084472656,2780.3798828125,1583,0.1899999976158142,1.8078583978205938,61.95000076293945,2861.83984375
